Transaction Hash,Date & Time,From Address,To Address,Type,Contract,Symbol,Token ID,Value,Fee
0x9c81f44c29ff0226f835cd0a8a2f2a7eca6db52a711f8211b566fd15d3e0e8d4,2015-08-08T21:14:00,0x5abfec25f74cd88437631a7731906932776356f9,,Internal Transfer,,ETH,,11901464.23948,14.36963
0x98beb27135aa0a25650557005ad962919d6a278c4b3dde7f4f6a3a1e65aa746c,2015-08-11T00:24:49,0x3fb1cd2cd96c6d5c0b5eb3322d807b34482481d4,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,Internal Transfer,,ETH,,0.0,0.00611035
0x621de9a006b56c425d21ee0e04ab25866fff4cf606dd5d03cf677c5eb2172161,2015-08-11T01:05:15,0x3fb1cd2cd96c6d5c0b5eb3322d807b34482481d4,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,Internal Transfer,,ETH,,0.0,0.00611035
0x1c1fb39d78d2ddfbba1ebd38076ccf54b8aaf3910839e0d0d737c61b1e264e00,2015-08-11T15:34:14,0x063dd253c8da4ea9b12105781c9611b8297f5d14,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,Internal Transfer,,ETH,,0.0,0.002209022789109648
0xb8ce46e64f5fbaec38073e592e00bce29f17cbcccc3e88e29c3f67163787e619,2015-08-11T15:37:51,0x063dd253c8da4ea9b12105781c9611b8297f5d14,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,Internal Transfer,,ETH,,0.0,0.00221323125968018
0xb9d70845c2abab8b548a1568d1bef653904f3a48073ec1a91e46cfe0414c286e,2015-08-11T17:18:13,0x7c56d94ebeccb769524379c450873519a9d805ff,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,Internal Transfer,,ETH,,0.0,0.00183665
0xd90ce562962445bc66a7e0ce205219fc1307b4e577ff55f8728494a314fffc0a,2015-08-11T17:18:57,0x7c56d94ebeccb769524379c450873519a9d805ff,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,Internal Transfer,,ETH,,0.0,0.00183665
0xcb1316911442ff0e9685a822d5a449eb875ad2d88a1483ccbc1e4c26c0be9f9e,2015-08-11T22:03:52,0x775e18be7a50a0abb8a4e82b1bd697d79f31fe04,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,Internal Transfer,,ETH,,0.0,0.004105563368630234
0x75bd4a93c0c79b72eb6af8990b43bc3632599cf9d9fd9c3028f01283c9b069f2,2015-08-11T22:24:18,0x775e18be7a50a0abb8a4e82b1bd697d79f31fe04,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,Internal Transfer,,ETH,,0.0,0.006725132684551451
0x97cede8fa9f55e4417eb8129bdfe74e7d7d1669f1054c595a821be6621eec7c8,2015-08-11T22:45:39,0x7c56d94ebeccb769524379c450873519a9d805ff,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,Internal Transfer,,ETH,,0.0,0.00183665
0x6d013bd6ac31a97cf149b928c6b7b6a649e325b178768c6b4e60632b8ec3b479,2015-08-11T23:14:59,0xc5a96db085dda36ffbe390f455315d30d6d3dc52,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,Internal Transfer,,ETH,,0.0,0.0183665
0x0751c92d88cbfedc60cdb7d133364a255d600c2066ec57ecb790165d6086843b,2015-08-12T17:27:45,0x42e6723a0c884e922240e56d7b618bec96f35800,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,External Transfer,,ETH,,1e-18,0.21
0x0e6d96b099fbadf4d09b866337c0f60fc7996dc6732bb038c427764699c2b391,2015-08-12T17:29:48,0x42e6723a0c884e922240e56d7b618bec96f35800,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,External Transfer,,ETH,,1e-18,0.21
0x6a7eecef7b05e1dde580f00127310122387999ed33d71795e642a1194a2e3d0a,2015-08-12T18:54:45,0x3fb1cd2cd96c6d5c0b5eb3322d807b34482481d4,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,Internal Transfer,,ETH,,0.0,0.00610395
0x2ff142848432e9cca3ad81f5a7e535e10737b0e00f1eb935b7f799e1bb7e2375,2015-08-12T19:10:16,0x7c56d94ebeccb769524379c450873519a9d805ff,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,Internal Transfer,,ETH,,0.0,0.00183025
0xdb57068e4c46073aaa6ee2e5bdf66043687339b99bdfbd5062763e9ead914585,2015-08-12T19:29:56,0x7c56d94ebeccb769524379c450873519a9d805ff,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,Internal Transfer,,ETH,,0.0,0.00610715
0x94b2e6f511cf483009f8199b2093e006188c627336687134ade3d394d1dd7914,2015-08-13T04:00:26,0x42e6723a0c884e922240e56d7b618bec96f35800,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,External Transfer,,ETH,,1e-18,0.21
0x11b503deef94e457daa4f1405aca9c0db241816b67200cbf9cd9a907a9ae6042,2015-08-13T18:27:15,0x775e18be7a50a0abb8a4e82b1bd697d79f31fe04,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,Internal Transfer,,ETH,,0.0,0.001449601142257334
